"2853511000006117"    "burkitt cell leukaemia"                                                                                                                                                                                                                     
"1222219012"          "[m]lymphocytic lymphoma nos"                                                                                                                                                                                                                
"289911017"           "other myeloid leukaemia nos"                                                                                                                                                                                                                
"826591000006116"     "hodgkin's disease, mixed cellularity of lymph nodes of axilla and upper limb"                                                                                                                                                               
"289647019"           "hodgkin's sarcoma of lymph nodes of multiple sites"                                                                                                                                                                                         
"3648231000006115"    "hodgkin's disease, lymphocytic predominance, nodular"                                                                                                                                                                                       
"201612010"           "acute myeloid leukaemia"                                                                                                                                                                                                                    
"315981000006113"     "[m]reticulosarcoma, pleomorphic cell type"                                                                                                                                                                                                  
"289907011"           "other myeloid leukaemia"                                                                                                                                                                                                                    
"289718018"           "nodular lymphoma of lymph nodes of head, face and neck"                                                                                                                                                                                     
"458201000006115"     "m4 - acute myelomonocytic leukaemia"                                                                                                                                                                                                        
"289974015"           "myelomonocytic leukaemia"                                                                                                                                                                                                                   
"2168691000000110"    "lymphoblastic (diffuse) lymphoma"                                                                                                                                                                                                           
"3327901000006111"    "chronic lymphocytic leukemia"                                                                                                                                                                                                               
"310991000006116"     "[m]leukaemia nos"                                                                                                                                                                                                                           
"4309331000006118"    "lymphoma (clinical)"                                                                                                                                                                                                                        
"1216572014"          "[m]myeloid leukaemia nos"                                                                                                                                                                                                                   
"3327971000006117"    "chronic lymphocytic leukaemia, b-cell type"                                                                                                                                                                                                 
"880841000006119"     "lymphoid leukaemia - subacute"                                                                                                                                                                                                              
"289702012"           "hodgkin's disease nos"                                                                                                                                                                                                                      
"289968015"           "subacute leukaemia"                                                                                                                                                                                                                         
"826661000006113"     "hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb"                                                                                                                                                               
"4420351000006118"    "lymphoid leukaemia (category)"                                                                                                                                                                                                              
"289743012"           "sezary's disease of intra-abdominal lymph nodes"                                                                                                                                                                                            
"4415761000006117"    "nk/t-cell lymphoma, nasal and nasal-type"                                                                                                                                                                                                   
"315991000006111"     "[m]reticulosarcomas"                                                                                                                                                                                                                        
"154082012"           "letterer-siwe disease of intrathoracic lymph nodes"                                                                                                                                                                                         
"292182018"           "[x]other specified leukaemias"                                                                                                                                                                                                              
"1815181000006112"    "follicular lymphoma grade 3"                                                                                                                                                                                                                
"1230838014"          "[m]malignant mastocytosis"                                                                                                                                                                                                                  
"11902611000006112"   "t-cell lymphoma (clinical)"                                                                                                                                                                                                                 
"289875015"           "lymphatic leukaemia"                                                                                                                                                                                                                        
"826861000006114"     "hodgkin's sarcoma of lymph nodes of inguinal region and lower limb"                                                                                                                                                                         
"313001000006116"     "[m]monostotic myeloma"                                                                                                                                                                                                                      
"3992621000006112"    "acute lymphoid leukemia"                                                                                                                                                                                                                    
"291933016"           "hodgkin lymphoma, nodular sclerosis, grade 1"                                                                                                                                                                                               
"728721000006111"     "malignant lymphoma"                                                                                                                                                                                                                         
"2782281000006111"    "acute myeloblastic leukaemia"                                                                                                                                                                                                               
"311601000006112"     "[m]malignant lymphoma, follicular centre cell, non-cleaved nos"                                                                                                                                                                             
"289921013"           "histiocytic leukaemia"                                                                                                                                                                                                                      
"311351000006119"     "[m]lymphoblastic lymphosarcoma nos"                                                                                                                                                                                                         
"154846015"           "hodgkin's granuloma of spleen"                                                                                                                                                                                                              
"1870401000006113"    "juvenile myelomonocytic leukaemia"                                                                                                                                                                                                          
"316001000006112"     "[m]reticulum cell sarcoma nos"                                                                                                                                                                                                              
"474604011"           "philadelphia chromosome negative chronic myelogenous leukaemia"                                                                                                                                                                             
"2669201000006117"    "plasma cell tumour"                                                                                                                                                                                                                         
"154080016"           "letterer-siwe disease of intra-abdominal lymph nodes"                                                                                                                                                                                       
"3992721000006116"    "acute myeloid leukemia"                                                                                                                                                                                                                     
"2534468012"          "angioimmunoblastic t-cell lymphoma"                                                                                                                                                                                                         
"3530471000006114"    "chronic myeloid leukaemia"                                                                                                                                                                                                                  
"2168481000000111"    "unifocal langerhans-cell histiocytosis"                                                                                                                                                                                                     
"4309831000006110"    "langerhans cell histiocytosis, disseminated (clinical)"                                                                                                                                                                                     
"396621000006114"     "[x]malignant neoplasms of lymphoid, haematopoietic and related tissue"                                                                                                                                                                      
"826651000006111"     "hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes"                                                                                                                                                                          
"403705015"           "malignant neoplasm of lymphatic and haemopoietic tissue"                                                                                                                                                                                    
"1815491000006119"    "other non-follicular lymphoma"                                                                                                                                                                                                              
"4172811000006111"    "gamma heavy chain disease (clinical)"                                                                                                                                                                                                       
"2730241000006114"    "hodgkin's disease"                                                                                                                                                                                                                          
"308311000006111"     "erythraemic myelosis"                                                                                                                                                                                                                       
"81401000006110"      "unspec malig neop lymphoid/histiocytic intra-abdominal nodes"                                                                                                                                                                               
"289908018"           "aleukaemic myeloid leukaemia"                                                                                                                                                                                                               
"456641000006119"     "acute erythraemia and erythroleukaemia"                                                                                                                                                                                                     
"292175017"           "malignant immunoproliferative disease (clinical)"                                                                                                                                                                                           
"4415681000006116"    "marginal zone lymphoma"                                                                                                                                                                                                                     
"3020041000006112"    "lymphocytic leukaemia"                                                                                                                                                                                                                      
"313311000006116"     "[m]mycosis fungoides"                                                                                                                                                                                                                       
"4309391000006119"    "nhl - non-hodgkin's lymphoma"                                                                                                                                                                                                               
"289605018"           "burkitt's lymphoma of intra-abdominal lymph nodes"                                                                                                                                                                                          
"1229648010"          "[m]malignant lymphoma, centroblastic type, follicular"                                                                                                                                                                                      
"157751011"           "reticulosarcoma of lymph nodes of multiple sites"                                                                                                                                                                                           
"4760001000006116"    "waldenstr̦m macroglobulinaemia"                                                                                                                                                                                                          
"2872133010"          "subcutaneous panniculitis-like t-cell lymphoma"                                                                                                                                                                                             
"2663191017"          "mycosis fungoides"                                                                                                                                                                                                                          
"3393051000006113"    "follicular lymphoma, grade 2"                                                                                                                                                                                                               
"289628017"           "hodgkin's granuloma of unspecified site"                                                                                                                                                                                                    
"289924017"           "subacute monocytic leukaemia"                                                                                                                                                                                                               
"476225016"           "erythroleukemia, fab m6"                                                                                                                                                                                                                    
"289900013"           "chronic myeloid leukaemia nos"                                                                                                                                                                                                              
"716871000006112"     "mast cell leukaemia"                                                                                                                                                                                                                        
"292042011"           "[m]basophilic leukaemias"                                                                                                                                                                                                                   
"154192019"           "malignant histiocytosis of lymph nodes of multiple sites"                                                                                                                                                                                   
"403759017"           "[m]malignant lymphoma, mixed lymphocytic-histiocytic nos"                                                                                                                                                                                   
"311461000006111"     "malignant lymphoma, follicular and/or nodular"                                                                                                                                                                                              
"289963012"           "leukaemia of unspecified cell type"                                                                                                                                                                                                         
"826601000006112"     "hodgkin's disease, mixed cellularity of lymph nodes of multiple sites"                                                                                                                                                                      
"292169014"           "[x]other hodgkin's disease"                                                                                                                                                                                                                 
"2659693012"          "gamma heavy chain disease"                                                                                                                                                                                                                  
"292083014"           "[m]monocytoid b-cell lymphoma"                                                                                                                                                                                                              
"201652012"           "chronic lymphoid leukaemia"                                                                                                                                                                                                                 
"2578361000006119"    "sezary syndrome"                                                                                                                                                                                                                            
"291894014"           "[m]malignant lymphoma, convoluted cell type nos"                                                                                                                                                                                            
"114573012"           "heavy chain disease"                                                                                                                                                                                                                        
"2782301000006110"    "acute myeloid leukaemia, no icd-o subtype"                                                                                                                                                                                                  
"289717011"           "nodular lymphoma of unspecified site"                                                                                                                                                                                                       
"4420171000006114"    "hodgkin lymphoma (category)"                                                                                                                                                                                                                
"289633018"           "hodgkin's granuloma of lymph nodes of axilla and upper limb"                                                                                                                                                                                
"1220414014"          "hodgkin's disease, nodular sclerosis"                                                                                                                                                                                                       
"289593014"           "lymphosarcoma of lymph nodes of head, face and neck"                                                                                                                                                                                        
"2663473018"          "hodgkin's disease"                                                                                                                                                                                                                          
"4255921000006118"    "malignant lymphoma - category"                                                                                                                                                                                                              
"316711000006113"     "[m]solitary myeloma"                                                                                                                                                                                                                        
"2659772015"          "histiocytic sarcoma"                                                                                                                                                                                                                        
"4309781000006118"    "hcl - hairy cell leukaemia"                                                                                                                                                                                                                 
"309521000006115"     "[m]granulocytic leukaemia nos"                                                                                                                                                                                                              
